,Passive,Causative
称为,17191,694
认为,11063,69
视为,5383,470
列为,4530,275
发现,4087,16
选为,3683,14
任命,3662,4
誉为,2880,7
称作,2712,176
评为,2681,47
列入,2421,180
杀,2197,46
命名,2182,365
授予,1984,44
使用,1842,47
取代,1825,11
批准,1749,1
用于,1582,99
占领,1069,3
逮捕,1054,27
取消,1044,23
收购,1029,5
用作,1028,56
封为,1004,5
接受,989,5
毁,943,5
改编,926,103
选中,909,1
击败,901,18
拆除,886,21
用来,877,22
淘汰,871,12
指定,850,14
归类,839,69
认定,802,14
用,794,102
包围,792,29
纳入,759,175
派往,759,5
杀害,733,20
公布,722,10
分配,716,39
提名,714,0
分为,694,385
描述,690,122
采用,689,4
并入,643,53
拒绝,633,2
摧毁,608,20
破坏,601,12
应用,573,62
定义,567,111
撤销,566,4
选入,563,10
禁止,562,1
设计,553,42
当作,547,565
外借,544,13
废除,540,6
定为,537,171
批评,518,6
发掘,510,1
指,507,8
封,506,35
开除,502,19
翻译,492,113
划分,482,58
要求,479,3
送往,464,81
安排,463,47
委任,461,2
确定,458,29
判,458,3
承认,451,2
邀请,451,2
公认,435,0
推翻,432,20
送到,429,370
驱逐,416,50
确认,416,2
聘为,414,0
提出,408,10
杀死,407,117
划入,402,36
看作,394,237
打败,391,18
判处,387,8
视作,384,92
收录,380,16
分成,377,217
形容,376,52
吸收,373,16
提及,371,0
允许,369,2
指控,368,1
租借,367,10
编入,364,20
证实,360,0
宣布,356,3
称之为,352,31
证明,345,5
引用,343,5
改为,339,582
提升,337,124
关闭,337,22
打破,335,14
烧毁,334,24
认可,330,0
处决,328,6
引入,326,100
控制,326,36
评选,315,7
推举,315,3
赋予,313,8
流放,311,29
吸引,309,14
作为,308,576
立为,307,7
简称,307,5
处死,303,25
征服,296,6
尊称,291,4
戏称,289,1
叫做,288,155
称,280,25
征召,279,4
怀疑,278,2
划为,276,39
覆盖,273,10
尊为,270,4
合并,267,161
诊断,264,1
提拔,263,5
揭发,262,2
当成,261,349
放弃,258,8
采纳,254,1
遗忘,253,3
保留,252,31
击中,252,0
否决,249,0
限制,248,48
控,248,8
逐出,246,61
免职,246,9
废弃,237,1
推荐,232,29
分割,229,46
记录,229,33
废,226,0
带到,225,485
拘捕,224,15
占据,224,2
释放,218,41
删除,217,38
派到,216,12
质疑,216,0
氧化,215,4
击沉,215,3
译为,213,27
解雇,213,8
逼,210,5
消灭,209,35
暗杀,208,2
冠以,206,14
卷入,206,11
利用,205,5
移除,204,32
剥夺,204,3
喻为,204,2
灭,203,6
观测,202,1
炸毁,201,13
有,200,71
解散,200,11
误认为,197,15
运用,196,38
关押,196,12
开发,196,8
称呼,195,17
绑架,195,7
淹没,193,7
派,191,7
革职,191,5
册封,190,3
忽略,189,9
镇压,189,5
认证,188,0
弹劾,186,0
搁置,184,13
拆毁,184,3
暱称,184,0
指派,183,6
录取,183,0
设定,181,56
囚禁,180,37
接收,180,3
没收,178,8
改建,177,44
抛弃,177,12
罢免,176,2
描绘,175,52
告知,175,32
攻陷,175,2
排除,174,49
遗弃,174,10
解除,174,5
派遣,173,4
击落,170,8
转移,168,220
焚毁,168,7
奉为,167,9
吞并,167,2
超越,167,1
为,166,158
带走,165,51
刺杀,165,6
改造,164,65
拆卸,164,20
保存,163,32
拘留,163,8
看好,163,1
接管,163,0
废黜,162,6
攻击,162,4
